,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15
D1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
D2,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1
D3,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
D4,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0
D5,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0
D6,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1
D7,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
D8,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0
D9,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0
D10,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1
D11,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1
D12,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0
D13,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
D14,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1
D15,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
