title,score
Graph Neural Networks for Social Influence Analysis,0.22962335066077924
DeepInf Social Influence Prediction with Deep Learning,0.2543689569315082
Modeling and Predicting Social Influence in Networks,0.268255952725965
A Survey on Graph Neural Networks,0.17132801450403023
Learning Social Influence from Content and Structure,0.18283023235088378
Neural Influence Modeling in Social Networks,0.3133705689106733
Dynamic Graph Representation Learning for Social Influence,0.23289018195408637
Graph Convolutional Networks for Social Recommendation,0.15953330924832854
Attention Based Graph Networks for Social Prediction,0.3265692572373305
Temporal Graphs and Social Influence Propagation,0.24997601891794885
Influence Maximization with Graph Neural Networks,0.23823440375374239
Explainable Social Influence Prediction with GNNs,0.27832264060387707
Graph Attention Networks for Community Detection,0.29305747064586213
Representation Learning for Influence Diffusion,0.31829129081344776
Cross Domain Social Influence Learning with Graphs,0.2817652299390611
