title,score
Graph Neural Networks for Social Influence Analysis,0.1448664629419175
DeepInf Social Influence Prediction with Deep Learning,0.3819302965965995
Modeling and Predicting Social Influence in Networks,0.19502468740633971
A Survey on Graph Neural Networks,0.22963468813680496
Learning Social Influence from Content and Structure,0.25793853757109225
Neural Influence Modeling in Social Networks,0.3126531305131761
Dynamic Graph Representation Learning for Social Influence,0.40546404658396556
Graph Convolutional Networks for Social Recommendation,0.3179474925474328
Attention Based Graph Networks for Social Prediction,0.20190093241053456
Temporal Graphs and Social Influence Propagation,0.1738523832382761
Influence Maximization with Graph Neural Networks,0.24959320942668892
Explainable Social Influence Prediction with GNNs,0.24486179456006835
Graph Attention Networks for Community Detection,0.14090482223921078
Representation Learning for Influence Diffusion,0.2751469768602481
Cross Domain Social Influence Learning with Graphs,0.1542644916715944
