title,score
Graph Neural Networks for Social Influence Analysis,0.061738911911904296
DeepInf Social Influence Prediction with Deep Learning,0.07292619631067952
Modeling and Predicting Social Influence in Networks,0.06599672065588387
A Survey on Graph Neural Networks,0.06707474040274178
Learning Social Influence from Content and Structure,0.06548683466367697
Neural Influence Modeling in Social Networks,0.06934160745189279
Dynamic Graph Representation Learning for Social Influence,0.07537052539653014
Graph Convolutional Networks for Social Recommendation,0.06964789748867056
Attention Based Graph Networks for Social Prediction,0.06481960853703252
Temporal Graphs and Social Influence Propagation,0.06409144301793138
Influence Maximization with Graph Neural Networks,0.06649160258570606
Explainable Social Influence Prediction with GNNs,0.0662159631065844
Graph Attention Networks for Community Detection,0.061821128619850695
Representation Learning for Influence Diffusion,0.06753191367128447
Cross Domain Social Influence Learning with Graphs,0.06144490617963039
